,,,,,,,,,,,,,,
LAPORAN INVENTARIS OUTLET  TAHUN 2026,,,,,,,,,,,,,,
PT GADAI SEJAHTERA INDONESIA,,,,,,,,,,,,,,
ALL OUTLET ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DAFTAR ASSET/INVENTARIS  ,,,,,,,,,,,,,,
No.,KODE ASET,KATEGORI,NAMA BARANG,KETERANGAN SPESIFIK BARANG,JUMLAH,HARGA PEROLEHAN / UNIT,TOTAL PEROLEHAN,WAKTU PEROLEHAN,LOKASI, KONDISI, MASA MANFAAT (TH),,,BEBAN PENYUSUTAN
189,INV-KP/ATK/047,ATK,,BANTEX JUMBO 6,1,"25,000"," Rp 25,000 ",,KP,,,,,0
190,INV-KP/ATK/048,ATK,,BANTEX JUMBO 7,1,"25,000"," Rp 25,000 ",,KP,,,,,0
191,INV-KP/ATK/049,ATK,,BANTEX JUMBO 8,1,"25,000"," Rp 25,000 ",,KP,,,,,0
192,INV-KP/ATK/050,ATK,,BANTEX JUMBO 9,1,"25,000"," Rp 25,000 ",,KP,,,,,0
193,INV-KP/ATK/051,ATK,,BANTEX JUMBO 10,1,"25,000"," Rp 25,000 ",,KP,,,,,0
194,INV-KP/ATK/052,ATK,,BANTEX JUMBO 11,1,"25,000"," Rp 25,000 ",,KP,,,,,0
195,INV-KP/ATK/053,ATK,,BANTEX JUMBO 12,1,"25,000"," Rp 25,000 ",,KP,,,,,0
196,INV-KP/ATK/054,ATK,,BANTEX JUMBO 13,1,"25,000"," Rp 25,000 ",,KP,,,,,0
197,INV-KP/ATK/055,ATK,,BANTEX JUMBO 14,1,"25,000"," Rp 25,000 ",,KP,,,,,0
198,INV-KP/ATK/056,ATK,,BANTEX JUMBO 15,1,"25,000"," Rp 25,000 ",,KP,,,,,0
199,INV-KP/ATK/057,ATK,,BANTEX JUMBO 16,1,"25,000"," Rp 25,000 ",,KP,,,,,0
200,INV-KP/ATK/058,ATK,,BANTEX JUMBO 17,1,"25,000"," Rp 25,000 ",,KP,,,,,0
201,INV-KP/ATK/059,ATK,,BINDEX KECIL 1,1,"15,000"," Rp 15,000 ",,KP,,,,,0
202,INV-KP/ATK/060,ATK,,BINDEX KECIL 2,1,"15,000"," Rp 15,000 ",,KP,,,,,0
203,INV-KP/ATK/061,ATK,,BINDEX KECIL 3,1,"15,000"," Rp 15,000 ",,KP,,,,,0
204,INV-KP/ATK/062,ATK,,BINDEX KECIL 4,1,"15,000"," Rp 15,000 ",,KP,,,,,0
205,INV-KP/ATK/063,ATK,,BINDEX KECIL 5,1,"15,000"," Rp 15,000 ",,KP,,,,,0
206,INV-KP/ATK/064,ATK,,STEMPEL LOGO GSI UNTUK MEMBER CARD 1,1,"25,000"," Rp 25,000 ",,KP,,,,,0
207,INV-KP/ATK/065,ATK,,STEMPEL LOGO GSI UNTUK MEMBER CARD 2,1,"25,000"," Rp 25,000 ",,KP,,,,,0
208,INV-KP/ATK/066,ATK,,STEMPEL LOGO+NAMA PERUSAHAAN 1,1,"50,000"," Rp 50,000 ",,KP,,,,,0
209,INV-KP/ATK/067,ATK,,STEMPEL LOGO+NAMA PERUSAHAAN 2,1,"50,000"," Rp 50,000 ",,KP,,,,,0
210,INV-KP/ATK/068,ATK,,STEMPEL LOGO+NAMA PERUSAHAAN 3,1,"50,000"," Rp 50,000 ",,KP,,,,,0
211,INV-KP/ATK/069,ATK,,STEMPEL TTD YANTHI,1,"25,000"," Rp 25,000 ",,KP,,,,,0
212,INV-KP/ATK/070,ATK,,STEMPEL TTD AMELIA 1,1,"25,000"," Rp 25,000 ",,KP,,,,,0
213,INV-KP/ATK/071,ATK,,STEMPEL TTD AMELIA 2,1,"25,000"," Rp 25,000 ",,KP,,,,,0
214,INV-KP/ATK/072,ATK,,DISPENSER KEONG LAKBAN BESAR 1,1,"25,000"," Rp 25,000 ",,KP,,,,,0
215,INV-KP/ATK/073,ATK,,DISPENSER KEONG LAKBAN BESAR 2,1,"25,000"," Rp 25,000 ",,KP,,,,,0
216,INV-KP/ATK/074,ATK,,DISPENSER LAKBAN SEDANG 1,1,"25,000"," Rp 25,000 ",,KP,,,,,0
217,INV-KP/ATK/075,ATK,,DISPENSER LAKBAN SEDANG 2,1,"25,000"," Rp 25,000 ",,KP,,,,,0
218,INV-KP/ATK/076,ATK,,PEMBOLONG KERTAS 1,1,"20,000"," Rp 20,000 ",,KP,,,,,0
219,INV-KP/ATK/077,ATK,,PEMBOLONG KERTAS 2,1,"20,000"," Rp 20,000 ",,KP,,,,,0
220,INV-KP/ATK/078,ATK,,BINDEX KECIL 6,1,"15,000"," Rp 15,000 ",,KP,,,,,0
221,INV-KP/ATK/079,ATK,,BINDEX KECIL 7,1,"15,000"," Rp 15,000 ",,KP,,,,,0
222,INV-KP/ATK/080,ATK,,BINDEX KECIL 8,1,"15,000"," Rp 15,000 ",,KP,,,,,0
223,INV-KP/ATK/081,ATK,,BANTEX PLASTIK 1,1,"15,000"," Rp 15,000 ",,KP,,,,,0
224,INV-KP/ATK/082,ATK,,BANTEX PLASTIK 2,1,"15,000"," Rp 15,000 ",,KP,,,,,0
225,INV-KP/ATK/083,ATK,,BANTEX PLASTIK 3,1,"15,000"," Rp 15,000 ",,KP,,,,,0
226,INV-KP/ATK/084,ATK,,BINDEX BIRU BESAR 10,1,"25,000"," Rp 25,000 ",,KP,,,,,0
227,INV-KP/ATK/085,ATK,,DISPENSER LAKBAN SEDANG 3,1,"25,000"," Rp 25,000 ",,KP,,,,,0
228,INV-KP/ATK/086,ATK,,DISPENSER LAKBAN SEDANG 4,1,"25,000"," Rp 25,000 ",,KP,,,,,0
229,INV-KP/ATK/087,ATK,,DISPENSER LAKBAN SEDANG 5,1,"25,000"," Rp 25,000 ",,KP,,,,,0
230,INV-KP/ATK/088,ATK,,STAPLER HD 12N/13 JUBO KENKO,1,"10,000"," Rp 10,000 ",,KP,,,,,0
231,INV-KP/TEKNISI/001,PERALATAN TEKNISI,,BOR PORTABLE,1,"150,000"," Rp 150,000 ",,KP,,,,,0
232,INV-KP/TEKNISI/002,PERALATAN TEKNISI,,MESIN LAS,1,"500,000"," Rp 500,000 ",,KP,,,,,0
233,INV-KP/TEKNISI/003,PERALATAN TEKNISI,,MESIN GERINDA,1,"100,000"," Rp 100,000 ",,KP,,,,,0
234,INV-KP/TEKNISI/004,PERALATAN TEKNISI,,SENDOK TEMBOK,1,"20,000"," Rp 20,000 ",,KP,,,,,0
235,INV-KP/TEKNISI/005,PERALATAN TEKNISI,,PALU,1,"20,000"," Rp 20,000 ",,KP,,,,,0
236,INV-KP/TEKNISI/006,PERALATAN TEKNISI,,OBENG,1,"10,000"," Rp 10,000 ",,KP,,,,,0
237,INV-KP/KENDARAAN/001,KENDARAAN,MOTOR,MOTOR BEAT A/N GUNAWAN D 6748 AEA,1,"10,000,000"," Rp 10,000,000 ",,KP,,8,,,"1,250,000"
238,INV-KP/KENDARAAN/002,KENDARAAN,MOTOR,MOTOR BEAT A/N YANTHI D 6731 AEA,1,"10,000,000"," Rp 10,000,000 ",,KP,,8,,,"1,250,000"
239,INV-KP/KENDARAAN/003,KENDARAAN,MOTOR,MOTOR BEAT A/N YANTHI D 6745 AEA,1,"10,000,000"," Rp 10,000,000 ",,KP,,8,,,"1,250,000"
240,INV-KP/KENDARAAN/004,KENDARAAN,MOTOR,MOTOR VARIO A/N ALAINSYI RAHSVIDA D 6010 KK,1,"10,000,000"," Rp 10,000,000 ",,KP,,8,,,"1,250,000"
241,INV-KP/KENDARAAN/005,KENDARAAN,MOBIL,MOBIL GRANDMAX A/N PT. SEMPURNA DELTA KIRANA B2909 SYU,1,"68,750,000"," Rp 68,750,000 ",,KP,,8,,,"8,593,750"
242,,RTK/PERLENGKAPAN,GEMBOK,SOLID 50 MM,10,"50,000"," Rp 500,000 ",,KP,,,,,0
243,,RTK/PERLENGKAPAN,GEMBOK,SOLID 60 MM,4,"65,000"," Rp 260,000 ",,KP,,,,,0
244,,RTK/PERLENGKAPAN,GEMBOK,AMERICAN SECURE ,1,"55,000"," Rp 55,000 ",,KP,,,,,0
245,,RTK/PERLENGKAPAN,GEMBOK,XANDER,2,"35,000"," Rp 70,000 ",,KP,,,,,0
246,,RTK/PERLENGKAPAN,GEMBOK,SOLID 40 MM,1,"35,000"," Rp 35,000 ",,KP,,,,,0
247,,RTK/PERLENGKAPAN,GEMBOK,EXTRA PLUS MT ,1,"35,000"," Rp 35,000 ",,KP,,,,,0
248,,ATK,PULPEN, STANDAR DAN JOYKO,2,"3,000"," Rp 6,000 ",28-Jan-26,TR,BAIK,,,,0
249,,ATK,PENSIL, JOYKO,2,"2,500"," Rp 5,000 ",30 DES 25,TR,BAIK,,,,0
250,,ATK,PENGHAPUS, JOYKO,2,"3,000"," Rp 6,000 ",30 DES 25,TR,BAIK,,,,0
251,,ATK,PENGGARIS, KENKO,1,"12,000"," Rp 12,000 ",-,TR,BAIK,,,,0
252,,ATK,SERUTAN, DAIMARSE,1,"1,000"," Rp 1,000 ",30 DES 25,TR,BAIK,,,,0
253,,ATK,TIPE X, JOYKO CT-522 12M LONG,1,"5,000"," Rp 5,000 ",2025,TR,BAIK,,,,0
254,,ATK,STAPLER, KENKO HD-10,1,"15,000"," Rp 15,000 ",-,TR,BAIK,,,,0
255,,ATK,GUNTING, JOYKO,1,"12,000"," Rp 12,000 ",-,TR,BAIK,,,,0
256,,ATK,LEM KERTAS, KENKO,1,"2,000"," Rp 2,000 ",2025,TR,BAIK,,,,0
257,,ATK,PEMBOLONG KERTAS, JOYKO 30XL,1,"15,000"," Rp 15,000 ",2025,TR,BAIK,,,,0
258,,ATK,STABILO/HIGHLIGHTER," JOYKO HL-2 GREEN, KENKO HL-100 ORANGE",2,"10,000"," Rp 20,000 ",18 DES 2025,TR,BAIK,,,,0
259,,ATK,SPIDOL, SNOWMAN PERMANENT G-12,1,"8,000"," Rp 8,000 ",2024,TR,BAIK,,,,0
260,,ATK,TEMPAT PENSIL, V-TEC 804/B,1,"15,000"," Rp 15,000 ",-,TR,BAIK,,,,0
261,,ATK,STEMPEL BESAR, CAP GSI,1,"30,000"," Rp 30,000 ",-,TR,RUSAK RINGAN BISA DIPAKAI,,,,0
262,,ATK,STEMPEL KECIL, CAP GSI,1,"15,000"," Rp 15,000 ",-,TR,RUSAK RINGAN BISA DIPAKAI,,,,0
263,,ATK,BANTEX FILE, BANTEX PUTIH,6,"20,000"," Rp 120,000 ",28 OKT 25,TR,BAIK,,,,0
264,,ATK,BINDEX FILE, BINDEX HITAM,4,"20,000"," Rp 80,000 ",28 OKT 25,TR,BAIK,,,,0
265,,ATK,BOX FILE PLASTIK, SYSBOX A RAK DOKUMEN,2,"10,000"," Rp 20,000 ",-,TR,BAIK,,,,0
266,,ATK,DISPENSER LAKBAN , KENKO,1,"23,000"," Rp 23,000 ",-,TR,BAIK,,,,0
267,,ATK,LOUPE," MAGNIFIER 30X22MM 60X12MM, SILVER",1,"35,000"," Rp 35,000 ",-,TR,BAIK,,,,0
268,,ATK,BATU GOSOK EMAS,,1,"25,000"," Rp 25,000 ",-,TR,BAIK,,,,0
269,,ATK,BOTOL AIR UJI EMAS,,2,"25,000"," Rp 50,000 ",-,TR,BAIK,,,,0
270,,ATK,AKRILIK NAMA,,1,"30,000"," Rp 30,000 ",-,TR,BAIK,,,,0
271,,ATK,AKRILIK INFORMASI,,2,"50,000"," Rp 100,000 ",-,TR,BAIK,,,,0
272,,ATK,AKRILIK CCTV,,1,"100,000"," Rp 100,000 ",-,TR,BAIK,,,,0
273,,ATK,BUKU STOCK GUDANG,KIKY HARVARD,1,"8,000"," Rp 8,000 ",,TR,BAIK,,,,0
274,,ATK,BUKU BESAR DI ATAS 1 JUTA,,1,0, Rp - ,-,TR,BAIK,,,,0
275,,ATK,BUKU  BESAR DI BAWAH 1 JUTA,,3,0, Rp - ,Sep 2025,TR,BAIK,,,,0
276,,ATK,BUKU ABSEN,KIKY OKEY 100 LEMBAR,2,"15,000"," Rp 30,000 ",AGUSTUS 2025,TR,BAIK,,,,0
277,,ATK,BUKU LOGBOOK,KIKY HARVARD,2,"8,000"," Rp 16,000 ",11 DES 2025,TR,BAIK,,,,0
278,,ATK,BUKU KUNJUNGAN,SIDU SD 1941-24,1,"5,000"," Rp 5,000 ",AGUSTUS 2025,TR,BAIK,,,,0
279,,ATK,KARTU CASHBACK,,10,0, Rp - ,24 DES 25,TR,BAIK,,,,0
280,,ATK,KARET GELANG,KARET GELANG CAP POHON BODHI,1,"8,000"," Rp 8,000 ",Jan 2026,TR,BAIK,,,,0
281,,ATK,LAKBAN KECIL,,1,"5,000"," Rp 5,000 ",DES 2025,TR,BAIK,,,,0
282,,ATK,BANNER GADAI,,5,0, Rp - ,-,TR,BAIK,,,,0
283,,ATK,STAPLER,KENKO HD 50N,1,"3,000"," Rp 3,000 ",-,TR,BAIK,,,,0
284,,ATK ,MAGNET BATANG,,1,"1,260"," Rp 1,260 ",20-Jan-26,TR,BAIK,,,,0
285,,ELEKTRONIK,LAPTOP , LENOVO THINKPAD X230 23249B0 INTEL® CORE™ I5-3230M RAM 8/109GB 2012,1,"2,000,000"," Rp 2,000,000 ",2025,TR,RUSAK RINGAN BISA DIPAKAI,3,,,"666,667"
286,,ELEKTRONIK,TV, SAMSUNG LCD TV LA22D400E1R 22INCH,1,"900,000"," Rp 900,000 ",-,TR,RUSAK RINGAN BISA DIPAKAI,2,,,"450,000"
287,,ELEKTRONIK,PRINTER , HP INK TANK 115,1,"1,200,000"," Rp 1,200,000 ",-,TR,RUSAK RINGAN BISA DIPAKAI,3,,,"400,000"
288,,ELEKTRONIK,MOUSE , LOGITECH M910,1,"57,000"," Rp 57,000 ",-,TR,BAIK,,,,0
289,,ELEKTRONIK,MONEY DETECTOR, COUNTERFEIT DETECTOR MODEL 318,1,"80,000"," Rp 80,000 ",-,TR,BAIK,,,,0
290,,ELEKTRONIK,WEB CAM/CAMERA NASABAH , KNUP HD 720P KP-CW100 USB 2.0 CMOS,1,"70,000"," Rp 70,000 ",DESEMBER 2023,TR,RUSAK RINGAN BISA DIPAKAI,,,,0
291,,ELEKTRONIK,KIPAS ANGIN BESAR, GMC,1,"250,000"," Rp 250,000 ",-,TR,BAIK,,,,0
292,,ELEKTRONIK,KIPAS ANGIN KECIL, COSMOS,1,"200,000"," Rp 200,000 ",-,TR,BAIK,,,,0
293,,ELEKTRONIK,LAMPU EMERGENCY, CMOS HK-86,2,"200,000"," Rp 400,000 ",-,TR,BAIK,,,,0
294,,ELEKTRONIK,CCTV, DAHUA,5,"150,000"," Rp 750,000 ",-,TR,BAIK,,,,0
295,,ELEKTRONIK,CCTV, XIAOMI,2,"400,000"," Rp 800,000 ",-,TR,,,,,0
296,,ELEKTRONIK,KALKULATOR KECIL, CITIZEN 12-DIGIT SDC-812NR,1,"25,000"," Rp 25,000 ",-,TR,RUSAK RINGAN BISA DIPAKAI,,,,0
297,,ELEKTRONIK,WIFI , HUAWEI INDIHOME TELKOM EG8145V5,1,"200,000"," Rp 200,000 ",-,TR,BAIK,,,,0
298,,ELEKTRONIK,RICE COOKER," COSMOS 1,8 LITER",1,"250,000"," Rp 250,000 ",-,TR,RUSAK RINGAN BISA DIPAKAI,,,,0
299,,ELEKTRONIK,SETRIKA, MASPION HA-110,1,"150,000"," Rp 150,000 ",-,TR,BAIK,,,,0
300,,ELEKTRONIK,REMOT SEBAGUNA , JOKER TM TV-521 TERA,1,"20,000"," Rp 20,000 ",24-Sep-24,TR,BAIK,,,,0
301,,ELEKTRONIK,TIMBANGAN EMAS, SUPERRIOR MINI DIGITAL PLATFORM SCALE SERI I-2000,1,"70,000"," Rp 70,000 ",,TR,BAIK,,,,0
302,,ELEKTRONIK,FLASHDISK, SANDISK CRUZER BLADE 8GB,1,"30,000"," Rp 30,000 ",22-Sep-25,TR,BAIK,,,,0
303,,ELEKTRONIK,JAM DINDING , QUARTZ ST8-3355,1,"25,000"," Rp 25,000 ",,TR,BAIK,,,,0
304,,ELEKTRONIK,TERMINAL STOP KONTAK , UTICON ST-138,1,"33,000"," Rp 33,000 ",-,TR,BAIK,,,,0
305,,ELEKTRONIK,TERMINAL STOP KONTAK , UTICON ST-138,1,"22,000"," Rp 22,000 ",-,TR,BAIK,,,,0
306,,ELEKTRONIK,TERMINAL STOP KONTAK , UTICON ST-138,2,"17,000"," Rp 34,000 ",-,TR,BAIK,,,,0
307,,ELEKTRONIK,TERMINAL STOP KONTAK , UTICON ST-138,2,"12,000"," Rp 24,000 ",-,TR,BAIK,,,,0
308,,ELEKTRONIK,TERMINAL STOP KONTAK , UTICON ST-138,1,"8,500"," Rp 8,500 ",-,TR,BAIK,,,,0
309,,ELEKTRONIK,KABEL USB ANDROID, VIVIAN,1,"20,000"," Rp 20,000 ",-,TR,BAIK,,,,0
310,,ELEKTRONIK,KABEL USB IPHONE, ROBOT,1,"15,000"," Rp 15,000 ",-,TR,RUSAK RINGAN BISA DIPAKAI,,,,0
311,,ELEKTRONIK,KABEL HDMI, MASEMPOO 1 METER DAN 2 METER,2,"60,000"," Rp 120,000 ",-,TR,1 RUSAK,,,,0
312,,ELEKTRONIK,LAMPU,,7,"30,000"," Rp 210,000 ",-,TR,BAIK,,,,0
313,,ELEKTRONIK,SUPPLY SWITCHING MODEL S-120-12.,,1,"50,000"," Rp 50,000 ",-,TR,BAIK,,,,0
314,,ELEKTRONIK,DVR ,,1,"500,000"," Rp 500,000 ",-,TR,BAIK,,,,0
315,,ELEKTRONIK,BESI LAMPU SOROT,,2,"30,000"," Rp 60,000 ",-,TR,RUSAK RINGAN,,,,0
316,,ELEKTRONIK,BEL GADAI,,1,"50,000"," Rp 50,000 ",-,TR,RUSAK ,,,,0
317,,ELEKTRONIK,ADAPTER USB LP,USB 2.0 HIGH SPEED HUB 7 PORTS,1,"10,000"," Rp 10,000 ",30 April 2025,TR,BAIK,,,,0
318,,FURNITURE & MEBEUL,BRANGKAS, KRISBOW,1,"500,000"," Rp 500,000 ",-,TR,BAIK,,,,0
319,,FURNITURE & MEBEUL,RAK BARANG, TIANG BESI,16,"60,000"," Rp 960,000 ",-,TR,BAIK,,,,0
320,,FURNITURE & MEBEUL,RAK BARANG, FLAT SIKU BESI,12,"10,000"," Rp 120,000 ",-,TR,BAIK,,,,0
321,,FURNITURE & MEBEUL,RAK BARANG, BESI FLAT,19,"60,000"," Rp 1,140,000 ",-,TR,BAIK,,,,0
322,,FURNITURE & MEBEUL,MEJA PELAYANAN STAFF,,3,"300,000"," Rp 900,000 ",-,TR,BAIK,,,,0
323,,FURNITURE & MEBEUL,KURSI PELAYANAN STAFF,,2,"100,000"," Rp 200,000 ",-,TR,BAIK,,,,0
324,,FURNITURE & MEBEUL,KURSI NASABAH , SEAT SILVER FRASSER SN,1,"1,000,000"," Rp 1,000,000 ",-,TR,BAIK,,,,0
325,,FURNITURE & MEBEUL,KASUR,KASUR BUSA 90X200,2,"250,000"," Rp 500,000 ",-,TR,BAIK,,,,0
326,,FURNITURE & MEBEUL,LEMARI PAKAIAN,LEMARI KAYU,2,"150,000"," Rp 300,000 ",-,TR,BAIK,,,,0
327,,FURNITURE & MEBEUL,BINGKAI/FIGURA,,2,"20,000"," Rp 40,000 ",-,TR,BAIK,,,,0
328,,FURNITURE & MEBEUL,TERALIS SET PINTU + PELAYANAN,,1,"3,166,667"," Rp 3,166,667 ",-,TR,BAIK,8,,,"395,833"
329,,PERALATAN PANTRY,KOMPOR, RINNAI R1-511C,1,"200,000"," Rp 200,000 ",-,TR,BAIK,,,,0
330,,PERALATAN PANTRY,GAS, LPG HIJAU 3KG,1,"200,000"," Rp 200,000 ",,TR,,,,,0
331,,PERALATAN PANTRY,GAS, LPG HIJAU 3KG,1,"400,000"," Rp 400,000 ",-,TR,BAIK,,,,0
332,,PERALATAN PANTRY,REGULATOR GAS, QUANTUM,1,"60,000"," Rp 60,000 ",-,TR,BAIK,,,,0
333,,PERALATAN PANTRY,WAJAN,,1,"25,000"," Rp 25,000 ",-,TR,BAIK,,,,0
334,,PERALATAN PANTRY,PANCI,,1,"20,000"," Rp 20,000 ",-,TR,BAIK,,,,0
335,,PERALATAN PANTRY,SPATULA,,1,"10,000"," Rp 10,000 ",-,TR,BAIK,,,,0
336,,PERALATAN PANTRY,TIRISAN GORENGAN/SEROK LUBANG,,1,"10,000"," Rp 10,000 ",-,TR,BAIK,,,,0
337,,PERALATAN PANTRY,PIRING ,,4,"5,000"," Rp 20,000 ",-,TR,BAIK,,,,0
338,,PERALATAN PANTRY,MANGKUK,,4,"5,000"," Rp 20,000 ",-,TR,BAIK,,,,0
339,,PERALATAN PANTRY,SENDOK,,6,"3,000"," Rp 18,000 ",-,TR,BAIK,,,,0
340,,PERALATAN PANTRY,GAU,,9,"3,000"," Rp 27,000 ",-,TR,BAIK,,,,0
341,,PERALATAN PANTRY,GELAS,,4,"5,000"," Rp 20,000 ",-,TR,BAIK,,,,0
342,,PERALATAN PANTRY,PISAU,,1,"10,000"," Rp 10,000 ",-,TR,BAIK,,,,0
343,,PERALATAN PANTRY,PAPAN POTONG / TALENAN,,1,"5,000"," Rp 5,000 ",-,TR,BAIK,,,,0
344,,PERALATAN PANTRY,BASKOM BESAR,,1,"20,000"," Rp 20,000 ",-,TR,BAIK,,,,0
345,,PERALATAN PANTRY,BASKOM KECIL,,2,"10,000"," Rp 20,000 ",-,TR,BAIK,,,,0
346,,PERALATAN PANTRY,RAK PIRING,,1,"25,000"," Rp 25,000 ",-,TR,BAIK,,,,0
347,,PERALATAN PANTRY,GALON, AQUA,2,"20,000"," Rp 40,000 ",-,TR,BAIK,,,,0
348,,PERALATAN PANTRY,SARINGAN,,1,"5,000"," Rp 5,000 ",-,TR,BAIK,,,,0
349,,RTK,TEMPAT SAMPAH,,2,"15,000"," Rp 30,000 ",-,TR,BAIK,,,,0
350,,RTK,BANTAL,,2,"20,000"," Rp 40,000 ",-,TR,BAIK,,,,0
351,,RTK,GULING,,1,"20,000"," Rp 20,000 ",-,TR,BAIK,,,,0
352,,RTK,SELIMUT,,1,"30,000"," Rp 30,000 ",-,TR,BAIK,,,,0
353,,RTK,EMBER,,1,"20,000"," Rp 20,000 ",-,TR,BAIK,,,,0
354,,RTK,GAYUNG,,2,"10,000"," Rp 20,000 ",-,TR,BAIK,,,,0
355,,RTK,SIKAT TOILET,,1,"10,000"," Rp 10,000 ",-,TR,BAIK,,,,0
356,,RTK,SIKAT BAJU,,1,"10,000"," Rp 10,000 ",-,TR,BAIK,,,,0
357,,RTK,SARUNG BANTAL ,,1,"15,000"," Rp 15,000 ",-,TR,BAIK,,,,0
358,,RTK,SARUNG GULING,,1,"15,000"," Rp 15,000 ",-,TR,BAIK,,,,0
359,,RTK,GORDEN,,2,"25,000"," Rp 50,000 ",-,TR,BAIK,,,,0
360,,RTK,LAP KANEBO,,1,"10,000"," Rp 10,000 ",-,TR,BAIK,,,,0
361,,RTK,SAPU,,2,"10,000"," Rp 20,000 ",-,TR,BAIK,,,,0
362,,RTK,PEL,,1,"15,000"," Rp 15,000 ",-,TR,RUSAK RINGAN BISA DI PAKAI,,,,0
363,,RTK,PENGKI/SEROKAN SAMPAH,,1,"10,000"," Rp 10,000 ",-,TR,BAIK,,,,0
364,,RTK,GANTUNGAN BAJU TEMPEL,,2,"15,000"," Rp 30,000 ",-,TR,BAIK,,,,0
365,,RTK,GEMBOK,,3,"75,000"," Rp 225,000 ",-,TR,1 RUSAK,,,,0
366,,RTK,GEMBOK,,6,"55,000"," Rp 330,000 ",-,TR,1 RUSAK,,,,0
367,,RTK,GEMBOK,,3,"150,000"," Rp 450,000 ",-,TR,BAIK,,,,0
368,,RTK,GEMBOK,,1,"25,000"," Rp 25,000 ",-,TR,RUSAK,,,,0
369,,RTK,GEMBOK BRANGKAS, GEMBOK BRANGKAS,1,"25,000"," Rp 25,000 ",-,TR,BAIK,,,,0
370,,RTK,RANTAI , RANTAI MOTOR,2,"50,000"," Rp 100,000 ",-,TR,BAIK,-,,,0
371,,RTK,TAS UANG, PEGE,1,"30,000"," Rp 30,000 ",-,TR,BAIK,,,,0
372,,RTK,DOMPET UANG, SANMING DAN DELI EXPANDING FILE,2,"10,000"," Rp 20,000 ",2024,TR,RESLETING RUSAK,,,,0
373,,RTK,KOTAK BROSUR AKRILIK,,1,"30,000"," Rp 30,000 ",-,TR,PECAH BISA DIPAKAI,,,,0
374,,RTK,FILTER AIR,,1,"50,000"," Rp 50,000 ",-,TR,ISI FILTER HABIS,,,,0
375,,RTK,HANGER BAJU,,10,"1,500"," Rp 15,000 ",-,TR,BAIK,,,,0
376,,RTK,LAP DAPUR,,1,"5,000"," Rp 5,000 ",-,TR,BAIK,,,,0
377,,RTK,BENDERA NKRI,,1,0, Rp - ,-,TR,BAIK,,,,0
378,,RTK,KEMOCENG,,2,"6,000"," Rp 12,000 ",-,TR,BAIK,,,,0
379,,RTK,BESI BENDERA,,1,0, Rp - ,-,TR,BAIK,,,,0
380,,ATK,PULPEN, JOYKO,2,"1,500"," Rp 3,000 ",,CG,BAIK,,,,0
381,,ATK,PENSIL, JOYKO 2B,1,"1,000"," Rp 1,000 ",,CG,BAIK,,,,0
382,,ATK,PENGHAPUS, JOYKO,1,"1,000"," Rp 1,000 ",,CG,BAIK,,,,0
383,,ATK,PENGGARIS, KENKO,1,"12,000"," Rp 12,000 ",,CG,BAIK,,,,0
384,,ATK,SERUTAN,  DAMARSE,1,"3,000"," Rp 3,000 ",,CG,BAIK,,,,0
385,,ATK,TIPE X, KENKO,1,"5,000"," Rp 5,000 ",,CG,BAIK,,,,0
386,,ATK,STAPLER, ETONA,2,"2,500"," Rp 5,000 ",,CG,BAIK,,,,0
387,,ATK,GUNTING, KENKO,2,"12,000"," Rp 24,000 ",,CG,BAIK,,,,0
388,,ATK,CUTTER, JOYKO,1,"6,500"," Rp 6,500 ",,CG,RUSAK,,,,0
389,,ATK,LEM KERTAS, JOYKO,1,"2,000"," Rp 2,000 ",,CG,BAIK,,,,0
390,,ATK,PEMBOLONG KERTAS,  VTEK,1,"15,000"," Rp 15,000 ",,CG,BAIK,,,,0
391,,ATK,STABILO/HIGHLIGHTER, KENKO,2,"10,000"," Rp 20,000 ",,CG,BAIK,,,,0
392,,ATK,Spidol,  ,,, Rp - ,,CG,-,,,,0
393,,ATK,TEMPAT PENSIL, KENKO,1,"10,000"," Rp 10,000 ",,CG,BAIK,,,,0
394,,ATK,STEMPEL BESAR, CAP GSI,1,"30,000"," Rp 30,000 ",,CG,BAIK,,,,0
395,,ATK,STEMPEL KECIL, CAP GSI,1,"15,000"," Rp 15,000 ",,CG,BAIK,,,,0
396,,ATK,Bantex File,  ,,, Rp - ,,CG,-,,,,0
397,,ATK,BINDEX FILE, GOLDEN COOK,2,"20,000"," Rp 40,000 ",,CG,BAIK,,,,0
398,,ATK,Keranjang ATK,  ,,, Rp - ,,CG,-,,,,0
399,,ATK,DISPENSER LAKBAN , JOYKO,1,"24,000"," Rp 24,000 ",,CG,BAIK,,,,0
400,,ATK,LOUPE," MAGNIFIER 30X22MM 60X12MM, SILVER",1,"35,000"," Rp 35,000 ",,CG,BAIK,,,,0
401,,ATK,BATU GOSOK EMAS,,1,"25,000"," Rp 25,000 ",,CG,BAIK,,,,0
402,,ATK,MAGNET,,1,"1,260"," Rp 1,260 ",,CG,BAIK,,,,0
403,,ATK,BOTOL AIR UJI EMAS,,2,"25,000"," Rp 50,000 ",,CG,BAIK,,,,0
404,,ELEKTRONIK,LAPTOP , ASUS ZENBOOK UX431DA_UM431DA RYZEN 5 3500U REDEON VEGA MOBILE GFX 8/476 GB,1,"5,000,000"," Rp 5,000,000 ",,CG,RUSAK RINGAN,3,,,"1,666,667"
