,,,,,,,,,,,,,,
LAPORAN INVENTARIS OUTLET  TAHUN 2026,,,,,,,,,,,,,,
PT GADAI SEJAHTERA INDONESIA,,,,,,,,,,,,,,
ALL OUTLET ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DAFTAR ASSET/INVENTARIS  ,,,,,,,,,,,,,,
No.,KODE ASET,KATEGORI,NAMA BARANG,KETERANGAN SPESIFIK BARANG,JUMLAH,HARGA PEROLEHAN / UNIT,TOTAL PEROLEHAN,WAKTU PEROLEHAN,LOKASI, KONDISI, MASA MANFAAT (TH),,,BEBAN PENYUSUTAN
40,INV-KP/EL/039,ELEKTRONIK,ELEKTRONIK, HP OPPO REN0 8 CCTV DLL,1,"1,000,000"," Rp 1,000,000 ",,KP,,2,,,"500,000"
41,INV-KP/EL/040,ELEKTRONIK,ELEKTRONIK, HP SAMSUNG A225 F,1,"800,000"," Rp 800,000 ",,KP,,2,,,"400,000"
42,INV-KP/EL/041,ELEKTRONIK,ELEKTRONIK, HP VIVO,1,"800,000"," Rp 800,000 ",,KP,,2,,,"400,000"
43,,ELEKTRONIK,KEYBOARD,,,, Rp - ,-,TR,-,-,,,0
44,INV-KP/EL/042,ELEKTRONIK,KEYBOARD, HP OPPO CCTV,1,"800,000"," Rp 800,000 ",,KP,,2,,,"400,000"
45,INV-KP/EL/043,ELEKTRONIK,KEYBOARD, HP REDMI 12 LITE PENAKSIR,1,"1,500,000"," Rp 1,500,000 ",,KP,,3,,,"500,000"
46,INV-KP/EL/044,ELEKTRONIK,, HP OPPO PENAKSIR,1,"800,000"," Rp 800,000 ",,KP,,3,,,"266,667"
47,INV-KP/EL/045,ELEKTRONIK,, HP OPPO A18 SOSMED,1,"800,000"," Rp 800,000 ",,KP,,3,,,"266,667"
48,INV-KP/EL/046,ELEKTRONIK,, STOP KONTAK 6 LUBANG 5,1,"30,000"," Rp 30,000 ",,KP,,,,,0
49,,ELEKTRONIK,ALARM EMERGENCY,,,, Rp - ,-,TR,-,-,,,0
50,INV-KP/EL/047,ELEKTRONIK,, HP SAMSUNG A52,1,"850,000"," Rp 850,000 ",,KP,,3,,,"283,333"
51,INV-KP/EL/048,ELEKTRONIK,, FLASHDISK SANDISK  16 GB,1,"100,000"," Rp 100,000 ",,KP,,,,,0
52,,ELEKTRONIK,KALKULATOR BESAR,,,, Rp - ,-,TR,-,-,,,0
53,INV-KP/EL/049,ELEKTRONIK,, HARDISK KEUANGAN,1,"500,000"," Rp 500,000 ",,KP,,,,,0
54,INV-KP/RTK/001,RTK/PERLENGKAPAN,, MEJA KANTOR OST 1061 BROWN 1,1,"300,000"," Rp 300,000 ",,KP,,,,,0
55,INV-KP/RTK/002,RTK/PERLENGKAPAN,, MEJA KANTOR OST 1061 BROWN 2,1,"300,000"," Rp 300,000 ",,KP,,,,,0
56,INV-KP/RTK/003,RTK/PERLENGKAPAN,, MEJA KANTOR OST 1061 BROWN 3,1,"300,000"," Rp 300,000 ",,KP,,,,,0
57,INV-KP/RTK/004,RTK/PERLENGKAPAN,, MEJA KANTOR OST 1061 BROWN 4,1,"300,000"," Rp 300,000 ",,KP,,,,,0
58,INV-KP/RTK/005,RTK/PERLENGKAPAN,, MEJA KANTOR HITAM 1,1,"500,000"," Rp 500,000 ",,KP,,,,,0
59,INV-KP/RTK/006,RTK/PERLENGKAPAN,, MEJA KANTOR HITAM 2,1,"500,000"," Rp 500,000 ",,KP,,,,,0
60,INV-KP/RTK/007,RTK/PERLENGKAPAN,, MEJA KANTOR HITAM 3,1,"500,000"," Rp 500,000 ",,KP,,,,,0
61,,ELEKTRONIK,HP KANTOR ,,,, Rp - ,-,TR,-,-,,,0
62,INV-KP/RTK/008,RTK/PERLENGKAPAN,, MEJA KANTOR HITAM 4,1,"500,000"," Rp 500,000 ",,KP,,,,,0
63,INV-KP/RTK/009,RTK/PERLENGKAPAN,MEJA, MEJA MEETING KANTOR,1,"1,000,000"," Rp 1,000,000 ",,KP,,8,,,"125,000"
64,INV-KP/RTK/010,RTK/PERLENGKAPAN,, MEJA HITAM KECIL 1,1,"150,000"," Rp 150,000 ",,KP,,,,,0
65,INV-KP/RTK/011,RTK/PERLENGKAPAN,, MEJA HITAM KECIL 2,1,"150,000"," Rp 150,000 ",,KP,,,,,0
66,INV-KP/RTK/012,RTK/PERLENGKAPAN,, MEJA BROWN KECIL,1,"150,000"," Rp 150,000 ",,KP,,,,,0
67,INV-KP/RTK/013,RTK/PERLENGKAPAN,, KURSI KERJA INFORMA,1,"200,000"," Rp 200,000 ",,KP,,,,,0
68,INV-KP/RTK/014,RTK/PERLENGKAPAN,, KURSI KERJA STRAMM 1,1,"150,000"," Rp 150,000 ",,KP,,,,,0
69,INV-KP/RTK/015,RTK/PERLENGKAPAN,, KURSI KERJA STRAMM 2,1,"150,000"," Rp 150,000 ",,KP,,,,,0
70,INV-KP/RTK/016,RTK/PERLENGKAPAN,,KURSI KERJA STRAMM 3,1,"150,000"," Rp 150,000 ",,KP,,,,,0
71,INV-KP/RTK/017,RTK/PERLENGKAPAN,,KURSI KERJA STRAMM 4,1,"150,000"," Rp 150,000 ",,KP,,,,,0
72,INV-KP/RTK/018,RTK/PERLENGKAPAN,,KURSI KERJA LYON 1,1,"150,000"," Rp 150,000 ",,KP,,,,,0
73,INV-KP/RTK/019,RTK/PERLENGKAPAN,,KURSI KERJA LYON 2,1,"150,000"," Rp 150,000 ",,KP,,,,,0
74,INV-KP/RTK/020,RTK/PERLENGKAPAN,,KURSI KERJA LYON 3,1,"150,000"," Rp 150,000 ",,KP,,,,,0
75,INV-KP/RTK/021,RTK/PERLENGKAPAN,,KURSI KERJA LYON 4,1,"150,000"," Rp 150,000 ",,KP,,,,,0
76,INV-KP/RTK/022,RTK/PERLENGKAPAN,, KURSI KERJA LYON 5,1,"150,000"," Rp 150,000 ",,KP,,,,,0
77,INV-KP/RTK/023,RTK/PERLENGKAPAN,, KURSI KERJA LYON 6,1,"150,000"," Rp 150,000 ",,KP,,,,,0
78,INV-KP/RTK/024,RTK/PERLENGKAPAN,, KURSI KERJA LYON 7,1,"150,000"," Rp 150,000 ",,KP,,,,,0
79,INV-KP/RTK/025,RTK/PERLENGKAPAN,, KURSI KERJA LYON 8,1,"150,000"," Rp 150,000 ",,KP,,,,,0
80,INV-KP/RTK/026,RTK/PERLENGKAPAN,, KURSI KERJA LYON 9,1,"150,000"," Rp 150,000 ",,KP,,,,,0
81,,FURNITURE & MEBEUL,MEJA DAPUR,,,, Rp - ,-,TR,-,-,,,0
82,INV-KP/RTK/027,RTK/PERLENGKAPAN,, KURSI KERJA LYON 10,1,"150,000"," Rp 150,000 ",,KP,,,,,0
83,INV-KP/RTK/028,RTK/PERLENGKAPAN,, KURSI KERJA LYON 11,1,"150,000"," Rp 150,000 ",,KP,,,,,0
84,,FURNITURE & MEBEUL,RANJANG TINGKAT,,,, Rp - ,-,TR,-,-,,,0
85,INV-KP/RTK/029,RTK/PERLENGKAPAN,,KURSI COFEMO 1,1,"100,000"," Rp 100,000 ",,KP,,,,,0
86,INV-KP/RTK/030,RTK/PERLENGKAPAN,,KURSI COFEMO 2,1,"100,000"," Rp 100,000 ",,KP,,,,,0
87,INV-KP/RTK/031,RTK/PERLENGKAPAN,, KURSI COFEMO 3,1,"100,000"," Rp 100,000 ",,KP,,,,,0
88,,FURNITURE & MEBEUL,PARTISI PENYEKAT RUANGAN,,,, Rp - ,-,TR,-,-,,,0
89,INV-KP/RTK/032,RTK/PERLENGKAPAN,, KURSI PLASTIK 1,1,"50,000"," Rp 50,000 ",,KP,,,,,0
90,INV-KP/RTK/033,RTK/PERLENGKAPAN,, KURSI PLASTIK 2,1,"50,000"," Rp 50,000 ",,KP,,,,,0
91,INV-KP/RTK/034,RTK/PERLENGKAPAN,, KURSI PLASTIK 3,1,"50,000"," Rp 50,000 ",,KP,,,,,0
92,INV-KP/RTK/035,RTK/PERLENGKAPAN,, KURSI PLASTIK 4,1,"50,000"," Rp 50,000 ",,KP,,,,,0
93,INV-KP/RTK/036,RTK/PERLENGKAPAN,, KURSI TAMAN 1,1,"100,000"," Rp 100,000 ",,KP,,,,,0
94,INV-KP/RTK/037,RTK/PERLENGKAPAN,, KURSI TAMAN 1,1,"100,000"," Rp 100,000 ",,KP,,,,,0
95,INV-KP/RTK/038,FURNITURE & MEBEUL,LEMARI, FILING CABINET 4 LACI,1,"1,000,000"," Rp 1,000,000 ",,KP,,8,,,"125,000"
96,,PERALATAN PANTRY,TEFLON,,,, Rp - ,-,TR,BAIK,-,,,0
97,INV-KP/RTK/039,RTK/PERLENGKAPAN,, LEMARI FILE,1,"500,000"," Rp 500,000 ",,KP,,,,,0
98,INV-KP/RTK/040,RTK/PERLENGKAPAN,, LEMARI HITAM POPULAR 5 PINTU,1,"500,000"," Rp 500,000 ",,KP,,,,,0
99,,PERALATAN PANTRY,COBEK,,,, Rp - ,-,TR,-,-,,,0
100,,PERALATAN PANTRY,ULEKAN ,,,, Rp - ,-,TR,-,-,,,0
101,INV-KP/RTK/041,RTK/PERLENGKAPAN,, LEMARI CREAM 5 PINTU,1,"500,000"," Rp 500,000 ",,KP,,,,,0
102,INV-KP/RTK/042,RTK/PERLENGKAPAN,, RAK HITAM STAINLESS 1,1,"300,000"," Rp 300,000 ",,KP,,,,,0
103,INV-KP/RTK/043,RTK/PERLENGKAPAN,, RAK HITAM STAINLESS 2,1,"300,000"," Rp 300,000 ",,KP,,,,,0
104,INV-KP/RTK/044,RTK/PERLENGKAPAN,, PAPAN TULIS WHITE BOARD BESAR,1,"500,000"," Rp 500,000 ",,KP,,,,,0
105,INV-KP/RTK/045,RTK/PERLENGKAPAN,, PAPAN TULIS WHITE BOARD SEDANG STANDING,1,"150,000"," Rp 150,000 ",,KP,,,,,0
106,,PERALATAN PANTRY,CANGKIR,,,, Rp - ,-,TR,-,-,,,0
107,INV-KP/RTK/046,RTK/PERLENGKAPAN,, PAPAN TULIS WHITE BOARD KECIL,1,"50,000"," Rp 50,000 ",,KP,,,,,0
108,INV-KP/RTK/047,RTK/PERLENGKAPAN,, LACI PLASTIK KECIL,1,"50,000"," Rp 50,000 ",,KP,,,,,0
109,INV-KP/RTK/048,RTK/PERLENGKAPAN,, RAK PIRING,1,"35,000"," Rp 35,000 ",,KP,,,,,0
110,INV-KP/RTK/049,RTK/PERLENGKAPAN,, TEMPAT SAMPAH BESAR 1,1,"25,000"," Rp 25,000 ",,KP,,,,,0
111,INV-KP/RTK/050,RTK/PERLENGKAPAN,, TEMPAT SAMPAH BESAR 2,1,"25,000"," Rp 25,000 ",,KP,,,,,0
112,INV-KP/RTK/051,RTK/PERLENGKAPAN,, TEMPAT SAMPAH BESAR 3,1,"25,000"," Rp 25,000 ",,KP,,,,,0
113,INV-KP/RTK/052,RTK/PERLENGKAPAN,, TEMPAT SAMPAH KECIL,1,"15,000"," Rp 15,000 ",,KP,,,,,0
114,,PERALATAN PANTRY,TEKO AIR,,,, Rp - ,-,TR,-,-,,,0
115,,PERALATAN PANTRY,NAMPAN,,,, Rp - ,-,TR,-,-,,,0
116,INV-KP/RTK/053,RTK/PERLENGKAPAN,, LEMARI BESI TEMPAT BARANG LELANG 1,1,"800,000"," Rp 800,000 ",,KP,,8,,,"100,000"
117,INV-KP/RTK/054,RTK/PERLENGKAPAN,, LEMARI BESI TEMPAT BARANG LELANG 2,1,"800,000"," Rp 800,000 ",,KP,,8,,,"100,000"
118,INV-KP/RTK/055,RTK/PERLENGKAPAN,, LEMARI BESI TEMPAT BARANG LELANG 3,1,"800,000"," Rp 800,000 ",,KP,,8,,,"100,000"
119,INV-KP/RTK/056,RTK/PERLENGKAPAN,, LEMARI BESI TEMPAT BARANG LELANG 4,1,"800,000"," Rp 800,000 ",,KP,,8,,,"100,000"
120,INV-KP/RTK/057,RTK/PERLENGKAPAN,, TEMPAT TISSUE 1,1,"20,000"," Rp 20,000 ",,KP,,,,,0
121,INV-KP/RTK/058,RTK/PERLENGKAPAN,, TEMPAT TISSUE 2,1,"20,000"," Rp 20,000 ",,KP,,,,,0
122,INV-KP/RTK/059,RTK/PERLENGKAPAN,, TEMPAT TISSUE 3,1,"20,000"," Rp 20,000 ",,KP,,,,,0
123,INV-KP/RTK/060,RTK/PERLENGKAPAN,, STANDING HANGER,1,"50,000"," Rp 50,000 ",,KP,,,,,0
124,INV-KP/RTK/061,RTK/PERLENGKAPAN,, FIGURA PRESIDEN,1,"20,000"," Rp 20,000 ",,KP,,,,,0
125,INV-KP/RTK/062,RTK/PERLENGKAPAN,, FIGURA WAKIL PRESIDEN,1,"20,000"," Rp 20,000 ",,KP,,,,,0
126,INV-KP/RTK/063,RTK/PERLENGKAPAN,, FUGURA KAPOLRI,1,"20,000"," Rp 20,000 ",,KP,,,,,0
127,INV-KP/RTK/064,RTK/PERLENGKAPAN,, LAMBANG BURUNG GARUDA,1,"100,000"," Rp 100,000 ",,KP,,,,,0
128,INV-KP/RTK/065,RTK/PERLENGKAPAN,, PETA KABUPATEN BANDUG,1,"30,000"," Rp 30,000 ",,KP,,,,,0
129,INV-KP/RTK/066,RTK/PERLENGKAPAN,, PETA PROVINSI JABAR,1,"30,000"," Rp 30,000 ",,KP,,,,,0
130,INV-KP/RTK/067,RTK/PERLENGKAPAN,, PETA KOTA BANDUNG,1,"30,000"," Rp 30,000 ",,KP,,,,,0
131,,RTK,SAPU LIDI,,,, Rp - ,-,TR,-,-,,,0
132,INV-KP/RTK/068,RTK/PERLENGKAPAN,, TEMPAT TISSUE,1,"10,000"," Rp 10,000 ",,KP,,,,,0
133,INV-KP/RTK/069,RTK/PERLENGKAPAN,, RAK DINDING HITAM 1,1,"30,000"," Rp 30,000 ",,KP,,,,,0
134,INV-KP/RTK/070,RTK/PERLENGKAPAN,, RAK DINDING HITAM 1,1,"30,000"," Rp 30,000 ",,KP,,,,,0
135,INV-KP/RTK/071,RTK/PERLENGKAPAN,, RAK GALON,1,"100,000"," Rp 100,000 ",,KP,,,,,0
136,INV-KP/ATK/001,ATK,, TEMPAT PULPEN 1,1,"15,000"," Rp 15,000 ",,KP,,,,,0
137,INV-KP/ATK/002,ATK,, TEMPAT PULPEN 2,1,"15,000"," Rp 15,000 ",,KP,,,,,0
138,INV-KP/ATK/003,ATK,, TEMPAT PULPEN 3,1,"15,000"," Rp 15,000 ",,KP,,-,,,0
139,INV-KP/ATK/004,ATK,, TEMPAT PULPEN 4,1,"15,000"," Rp 15,000 ",,KP,,,,,0
140,INV-KP/ATK/005,ATK,, TEMPAT PULPEN 5,1,"15,000"," Rp 15,000 ",,KP,,,,,0
141,INV-KP/ATK/006,ATK,, ACRILIC ORGANIZER 1,1,"20,000"," Rp 20,000 ",,KP,,,,,0
142,,RTK,KESET,,,, Rp - ,-,TR,-,-,,,0
143,,RTK,APAR,,,, Rp - ,-,TR,-,-,,,0
144,INV-KP/ATK/007,ATK,, ACRILIC ORGANIZER 2,1,"20,000"," Rp 20,000 ",,KP,,,,,0
145,INV-KP/ATK/008,ATK,,BINDEX HIJAU BESAR 1,1,"20,000"," Rp 20,000 ",,KP,,,,,0
146,INV-KP/ATK/009,ATK,,BINDEX HIJAU BESAR 2,1,"20,000"," Rp 20,000 ",,KP,,,,,0
147,INV-KP/ATK/010,ATK,,BINDEX HIJAU BESAR 3,1,"20,000"," Rp 20,000 ",,KP,,,,,0
148,INV-KP/ATK/011,ATK,,BINDEX HIJAU BESAR 4,1,"20,000"," Rp 20,000 ",,KP,,,,,0
149,INV-KP/ATK/012,ATK,,BINDEX HIJAU BESAR 5,1,"20,000"," Rp 20,000 ",,KP,,,,,0
150,,,,,,, Rp - ,,TR,,,,,0
151,,,,,,, Rp - ,,TR,,,,,0
